url,text,createdAt,viewCount
https://x.com/seangoldfaden/status/1666937122941706240,"I’d travel the 🌎 for @Techweek_ 

Thank you to all the key partners that are pushing us all forward @KatiaAmeri @eva_ho @dereknorton @Stonks_dot_com @Stonks_dot_com @upfrontvc @fikavc @TenOne10 @bonfire_vc @amplifyla @mucker #LATechWeek @TechstarsLA @john_at_stonks @erica_wenger https://t.co/tfDFegEE67",Thu Jun 08 22:35:54 +0000 2023,501
https://x.com/seangoldfaden/status/1666512853824835584,"“I want individual creators to be their own brand and creators, break down silos to our films out.” #LATechWeek 
@a16z @john_at_stonks @Stonks_dot_com @Techweek_ @KatiaAmeri https://t.co/yqMc6M1bmC",Wed Jun 07 18:30:01 +0000 2023,436
https://x.com/seangoldfaden/status/1666505786389073921,"Future (aka PRESENT) of gaming and entertainment 

@Stonks_dot_com + @a16z 

@KatiaAmeri @john_at_stonks @Techweek_ @andrewchen #LATechWeek https://t.co/NlUVCf8dRQ",Wed Jun 07 18:01:56 +0000 2023,414
https://x.com/seangoldfaden/status/1914754162958713243,"RT @TXZhuo: 1/ What’s the one trait that sets successful startups apart?

It’s not pitch decks, market size, or pedigree.
It’s responsivene…",Tue Apr 22 18:52:21 +0000 2025,412
https://x.com/seangoldfaden/status/1664404826828963843,"RT @Techweek_: It was a great event with @a16z &amp; @stonks_dot_com at #SFTechWeek.

Huge thanks to all the amazing founders and panelists tha…",Thu Jun 01 22:53:28 +0000 2023,402
https://x.com/seangoldfaden/status/1664632972446953472,"The vibes from 2022 got me HYPED for #SFTechWeek today and even more stoked for #LATechWeek next week :)

@KatiaAmeri @Techweek_ @pearvc @Unusual_VC @ganasvc @connielwang @jennabirch @john_at_stonks @Stonks_dot_com @sophiaamoruso @digiphile @ResponsiblyVC @RarebreedVC @HalogenVC https://t.co/XiiQ8gUJtL",Fri Jun 02 14:00:02 +0000 2023,386
https://x.com/seangoldfaden/status/1668664147754594314,"Your biggest takeaways from #SFTechWeek and #LATechWeek were….

GO!

@Techweek_ @KatiaAmeri @andrewchen @eva_ho @upfrontvc @fikavc @dereknorton @mucker @bonfire_vc @CortadoVentures @john_at_stonks @erica_wenger @amplifyla @spencerrascoff @IAmRobRyan @pearvc @alexis__stovall",Tue Jun 13 16:58:29 +0000 2023,385
https://x.com/seangoldfaden/status/1886603420230103123,"@ezrafirestone  just dropped 🔥

#AffiliateSummitWest

Check out my favorite things he covered in the video below ⤵️

Special shout out to our new friends!

First crew we met at the conference! https://t.co/XwU7SiVBPz",Tue Feb 04 02:31:21 +0000 2025,380
https://x.com/seangoldfaden/status/1673790146100215808,"What an incredible day at the Emerging Manager Breakfast with @WatertowerGroup  at #LATECHWEEK 

Thanks for bringing together the top VC minds in LA

@bonfire_vc 
@greycroftvc 
@muckercapital 
@upfrontvc 
@fikavc 
@TenOne10 
@StruckCapital 
@KatiaAmeri 
@Techweek_ https://t.co/ygsROB94aC",Tue Jun 27 20:27:23 +0000 2023,374
https://x.com/seangoldfaden/status/1666998129097572352,"No one is safe :) @upfrontvc 

Love capturing all the content this week at @Techweek_ #LaTechWeek https://t.co/T6J7Z8vZyc",Fri Jun 09 02:38:19 +0000 2023,336
